id,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage
503258,Female,51,1,28.0,0,1-2 Year,Yes,38913.0,26.0,249
417627,Female,21,1,46.0,1,< 1 Year,Yes,47094.0,160.0,91
413966,Female,21,1,8.0,1,< 1 Year,No,23264.0,160.0,142
471058,Female,48,1,28.0,0,1-2 Year,Yes,37377.0,124.0,72
490731,Male,67,1,35.0,0,1-2 Year,Yes,24518.0,10.0,242
398030,Male,41,1,28.0,0,1-2 Year,Yes,27101.0,42.0,96
394980,Male,41,1,28.0,0,1-2 Year,No,31140.0,124.0,245
496275,Female,20,1,15.0,1,< 1 Year,No,34030.0,160.0,246
470239,Male,26,1,13.0,1,< 1 Year,No,28095.0,152.0,33
494149,Male,59,1,50.0,0,1-2 Year,Yes,36213.0,25.0,165
424670,Male,29,1,28.0,0,1-2 Year,Yes,31755.0,26.0,67
462470,Female,31,1,6.0,1,< 1 Year,No,18534.0,152.0,27
404622,Female,43,1,15.0,0,1-2 Year,Yes,21743.0,163.0,137
476985,Male,22,1,28.0,1,< 1 Year,No,40739.0,152.0,279
401405,Male,22,1,2.0,1,< 1 Year,No,25065.0,152.0,199
478323,Male,26,1,50.0,1,< 1 Year,No,40836.0,152.0,227
414024,Female,23,1,12.0,1,< 1 Year,No,30863.0,152.0,172
489411,Male,50,1,28.0,0,1-2 Year,Yes,33041.0,122.0,78
464552,Male,26,1,32.0,1,< 1 Year,No,27475.0,152.0,212
384077,Male,27,1,41.0,1,1-2 Year,No,39981.0,124.0,273
437663,Male,51,1,46.0,0,> 2 Years,Yes,41492.0,26.0,209
471397,Female,56,1,3.0,0,> 2 Years,Yes,2630.0,124.0,259
434219,Male,63,1,28.0,0,> 2 Years,Yes,44963.0,122.0,269
459496,Male,26,1,28.0,0,< 1 Year,No,29445.0,156.0,57
425033,Female,32,1,28.0,0,< 1 Year,Yes,51742.0,26.0,100
494145,Male,52,1,36.0,1,1-2 Year,Yes,32845.0,30.0,152
484692,Male,24,1,21.0,0,< 1 Year,No,28311.0,152.0,133
507351,Female,22,1,30.0,1,< 1 Year,No,20844.0,152.0,276
502474,Male,61,1,28.0,0,1-2 Year,Yes,20026.0,26.0,35
484876,Female,45,1,28.0,0,1-2 Year,Yes,43885.0,124.0,171
487487,Female,23,1,8.0,1,< 1 Year,No,44028.0,151.0,267
464906,Female,58,1,8.0,0,1-2 Year,Yes,43069.0,7.0,245
429374,Female,20,1,33.0,0,1-2 Year,Yes,31321.0,124.0,210
500748,Male,48,1,28.0,1,1-2 Year,No,37334.0,26.0,265
423649,Male,20,1,36.0,0,< 1 Year,Yes,73059.0,160.0,68
388173,Male,37,1,28.0,1,1-2 Year,No,30224.0,124.0,128
455970,Male,24,1,8.0,1,< 1 Year,No,63722.0,152.0,150
409766,Female,46,1,45.0,0,1-2 Year,Yes,38630.0,26.0,79
385395,Male,35,1,28.0,0,1-2 Year,Yes,37145.0,124.0,275
408982,Female,24,1,18.0,1,< 1 Year,No,24641.0,152.0,40
468724,Female,63,1,28.0,0,1-2 Year,Yes,45367.0,124.0,35
469593,Female,62,1,41.0,1,1-2 Year,No,35071.0,124.0,141
488798,Male,27,1,25.0,1,< 1 Year,No,28426.0,152.0,235
462005,Male,23,1,39.0,0,< 1 Year,Yes,67057.0,152.0,158
500654,Male,31,1,2.0,1,< 1 Year,No,26448.0,152.0,259
404772,Male,46,1,28.0,1,1-2 Year,No,51935.0,26.0,248
478218,Male,20,1,2.0,1,< 1 Year,Yes,2630.0,160.0,172
392791,Female,24,1,37.0,1,< 1 Year,No,28902.0,152.0,212
473472,Female,57,1,41.0,0,1-2 Year,Yes,2630.0,156.0,194
438963,Male,52,1,14.0,1,1-2 Year,No,25567.0,124.0,92
386360,Male,21,1,8.0,1,< 1 Year,No,47740.0,160.0,12
413752,Female,21,1,11.0,1,< 1 Year,No,30210.0,152.0,60
429629,Male,51,1,8.0,1,1-2 Year,No,41734.0,26.0,22
398336,Male,59,1,18.0,0,1-2 Year,Yes,24644.0,131.0,105
464780,Male,74,1,28.0,0,1-2 Year,Yes,32317.0,124.0,40
395151,Female,34,1,29.0,0,1-2 Year,Yes,49960.0,154.0,202
474317,Female,27,1,28.0,0,< 1 Year,Yes,33044.0,124.0,201
504768,Male,48,1,3.0,0,1-2 Year,Yes,39420.0,26.0,240
457574,Male,36,1,36.0,0,1-2 Year,Yes,38192.0,26.0,177
410741,Female,25,1,36.0,1,< 1 Year,No,38999.0,152.0,217
499901,Male,54,1,46.0,0,1-2 Year,Yes,29682.0,26.0,115
431580,Female,40,1,29.0,0,1-2 Year,Yes,60629.0,26.0,57
479100,Male,22,1,33.0,1,< 1 Year,No,34879.0,152.0,61
504974,Male,60,1,29.0,1,1-2 Year,No,2630.0,61.0,127
490044,Female,24,1,47.0,0,< 1 Year,Yes,25788.0,152.0,257
467395,Male,27,1,11.0,1,< 1 Year,No,2630.0,152.0,120
505216,Male,24,1,36.0,1,< 1 Year,No,37350.0,152.0,165
502925,Male,42,1,28.0,0,1-2 Year,Yes,52521.0,124.0,266
499929,Female,71,1,24.0,1,1-2 Year,No,27211.0,145.0,173
418485,Male,35,1,0.0,0,1-2 Year,No,2630.0,152.0,132
496963,Male,46,1,28.0,0,1-2 Year,Yes,28169.0,26.0,275
410554,Male,60,1,1.0,0,1-2 Year,Yes,2630.0,156.0,39
382795,Female,58,1,28.0,0,1-2 Year,Yes,32386.0,26.0,14
460728,Female,24,1,11.0,1,< 1 Year,No,25822.0,152.0,31
389919,Female,24,1,3.0,0,< 1 Year,Yes,39370.0,122.0,265
419994,Female,35,1,19.0,1,1-2 Year,Yes,30367.0,124.0,31
390842,Male,64,1,45.0,0,1-2 Year,Yes,38183.0,124.0,36
442156,Female,24,1,11.0,1,< 1 Year,No,26675.0,152.0,137
418837,Female,69,1,29.0,1,1-2 Year,No,28430.0,26.0,184
477072,Female,31,1,33.0,1,< 1 Year,No,33480.0,152.0,167
485282,Male,41,1,15.0,0,1-2 Year,Yes,29078.0,124.0,67
478282,Female,39,1,47.0,0,1-2 Year,Yes,30267.0,26.0,109
505484,Male,21,1,10.0,1,< 1 Year,Yes,22482.0,152.0,198
482430,Male,38,1,28.0,0,1-2 Year,Yes,47493.0,122.0,68
503719,Male,38,1,28.0,0,1-2 Year,Yes,27372.0,122.0,63
489267,Male,71,1,50.0,1,1-2 Year,No,2630.0,18.0,203
462343,Female,24,1,21.0,1,< 1 Year,No,25676.0,152.0,271
474110,Male,22,1,33.0,1,< 1 Year,No,30632.0,152.0,46
443928,Female,54,1,28.0,1,1-2 Year,No,48734.0,124.0,97
392730,Female,47,1,41.0,1,1-2 Year,No,32091.0,26.0,297
491893,Male,41,1,41.0,1,1-2 Year,No,31425.0,26.0,288
393500,Male,57,1,28.0,0,1-2 Year,No,43058.0,54.0,235
431576,Male,21,1,28.0,1,< 1 Year,No,108208.0,152.0,261
390572,Female,48,1,28.0,1,1-2 Year,No,36918.0,124.0,225
435576,Male,40,1,30.0,0,1-2 Year,Yes,26564.0,26.0,60
395309,Female,22,1,32.0,1,< 1 Year,No,27757.0,152.0,221
456510,Male,41,1,28.0,0,1-2 Year,Yes,40851.0,26.0,74
454947,Male,46,1,35.0,1,1-2 Year,No,2630.0,26.0,116
453354,Female,55,1,28.0,0,1-2 Year,Yes,74810.0,26.0,259
499898,Male,46,1,28.0,0,1-2 Year,Yes,41543.0,26.0,182
